iter	R2	RMSE
488	0.7079769082	2.164301358
489	0.7082114012	2.163432222
490	0.7084524608	2.162538384
491	0.7085247409	2.1622703
492	0.7086342507	2.16186407
493	0.7086681916	2.16173815
494	0.7086991174	2.161623409
495	0.7090033076	2.160494479
496	0.7090963797	2.160148946
497	0.7091706193	2.15987329
498	0.7093456034	2.159223424
499	0.7093734667	2.159119925
500	0.7094916406	2.158680913
501	0.7096017286	2.158271858
502	0.7096832727	2.157968815
503	0.7098413458	2.157381244
504	0.7099746888	2.156885473
505	0.7101273138	2.15631787
506	0.7101785394	2.156127332
507	0.7103760792	2.155392408
508	0.7105715404	2.154664971
509	0.7107097013	2.154150636
510	0.7107468819	2.154012202
511	0.7108540535	2.153613122
512	0.7108847476	2.153498811
513	0.7109138815	2.153390305
514	0.7110668935	2.15282034
515	0.7111860846	2.152376252
516	0.7113370796	2.151813536
517	0.7113648714	2.151709947
518	0.7115800749	2.150907651
519	0.7116273133	2.150731502
520	0.7118496792	2.149902122
521	0.7120247358	2.14924897
522	0.7121733107	2.148694468
523	0.712235065	2.14846395
524	0.7123890843	2.147888916
525	0.7124495151	2.147663255
526	0.7126113667	2.147058749
527	0.7128198381	2.146279871
528	0.7129154075	2.145922716
529	0.7129587373	2.145760767
530	0.7130227667	2.14552143
531	0.7131760136	2.144948495
532	0.7133428449	2.144324599
533	0.7134725138	2.143839554
534	0.713715716	2.142929524
535	0.7138905166	2.142275205
536	0.7139189472	2.142168763
537	0.7140066137	2.14184051539	0.7198175849	2.069235369
5539	0.7142769442	2.140828007
540	0.7143980259	2.140374346
541	0.7144231759	2.140280104
542	0.7144963958	2.14000571
543	0.7145387551	2.139846951
544	0.7145653422	2.139747299
545	0.7146430315	2.139456082
546	0.7147011297	2.139238276
547	0.714891154	2.138525734
548	0.7150789025	2.137821492
549	0.7151024151	2.13773328
550	0.7151716313	2.137473582
551	0.7152087449	2.13733432
552	0.7153510773	2.136800156
553	0.7155270674	2.136139494
554	0.715565804	2.13599405
555	0.7156306059	2.135750717
556	0.715673313	2.135590336
557	0.7157760443	2.135204491
558	0.7158001392	2.135113984
559	0.7159859599	2.13441586
560	0.7160752083	2.134080475
561	0.7162338129	2.133484328
562	0.716259332	2.133388393
563	0.7162845968	2.133293411
564	0.7163103078	2.133196746
565	0.7163513679	2.133042366
566	0.7163752764	2.132952467
567	0.7164179416	2.132792033
568	0.7165342973	2.132354439
569	0.7165570476	2.132268868
570	0.7165872309	2.132155334
571	0.7166085096	2.132075292
572	0.7166542335	2.131903284
573	0.7166749345	2.131825405
574	0.7167388861	2.131584796
575	0.7168017245	2.131348348
576	0.7169460608	2.130805142
577	0.7169685996	2.130720306
578	0.7169928207	2.130629133
579	0.7170157546	2.130542802
580	0.7170379334	2.13045931
581	0.7170599152	2.130376556
582	0.717119059	2.130153885
583	0.7171399556	2.130075205
584	0.7171614969	2.129994096
585	0.7172033201	2.129836609
586	0.7173250675	2.1293781
587	0.7174951862	2.128737255
588	0.7175156686	2.128660084
589	0.7175575242	2.128502376
590	0.7176121528	2.128296525
591	0.7177219926	2.127882565
592	0.7177603657	2.127737927
593	0.7177800749	2.127663634
594	0.7178196591	2.127514415
595	0.7178415862	2.127431753
596	0.7179141611	2.127158134
597	0.7180049958	2.126815623
598	0.7180240113	2.126743914
599	0.7180994323	2.126459471
600	0.7181834658	2.126142503
601	0.7182380584	2.125936558
602	0.7183333754	2.125576937
603	0.718401359	2.125320405
604	0.7184198341	2.125250685
605	0.7184381499	2.125181564
606	0.7184577135	2.125107731
607	0.7185107931	2.124907397
608	0.7185298792	2.124835357
609	0.7185474312	2.124769105
610	0.7185661518	2.12469844
611	0.71612	0.7855645976	1.77612	0.7186743383	2.124290022
613	0.7186917429	2.124224309
614	0.7187094913	2.124157297
615	0.7187648621	2.123948221
616	0.7187826394	2.123881091
617	0.7188016611	2.12380926
618	0.7188185924	2.12374532
619	0.7189221478	2.123354211
620	0.7189714275	2.123168065
621	0.7190892478	2.122722953
622	0.7191476778	2.122502176
623	0.7191650723	2.122436446
624	0.7193866942	2.121598817
625	0.7194050889	2.121529279
626	0.7194239182	2.121458095
627	0.7194426249	2.121387373
628	0.7194590226	2.121325377
629	0.7194749275	2.121265243
630	0.7195083389	2.121138915
631	0.7197000232	2.120414012
632	0.7197364622	2.120276181
633	0.7197662694	2.120163427
634	0.7197822126	2.120103116
635	0.7198454965	2.119863702
636	0.7198617871	2.119802068
637	0.7199555115	2.119447432
638	0.7199723964	2.119383537
639	0.7199917048	2.119310468
640	0.7200072964	2.119251463
641	0.7200230598	2.119191806
642	0.7200381782	2.119134588
643	0.720644	0.7906292255	1.754796174
645	0.7906877564	1.645	0.7201646	0.7907496032	646	0.720279647	0.7908319488	1.753946428
648	0.7908946743	1.753683421
649	0.791092243	1.75285476
650	0.7911513805	1.752606643
651	0.791201716	1.752395429
652	0.791264406	1.752132338
653	0.7914761458	1.751243438
654	0.7916433184	1.750541315
655	0.7916941983	1.750327564
656	0.7918577872	1.749640136
657	0.7919168028	1.749392077
658	0.7920540882	1.74881489
659	0.7921916635	1.748236294
660	0.7922896156	1.747824223
661	0.7924145304	1.747298582
662	0.7925292315	1.746815782
663	0.7925800218	1.746601952
664	0.7927383043	1.745935408
665	0.7928222257	1.745581902
666	0.7929138679	1.745195793
667	0.7930150528	1.744769379
668	0.7930745695	1.744518514
669	0.7932350696	1.743841822
670	0.7933769802	1670	0.7214198851	2.113898795
671	0.72143672	0.7938481882	1672	0.72144673	0.7940283222	1673	0.7215079256	2.113564737
674	0.72152675	0.7942720769	1675	0.72153676	0.7944184999	1676	0.72161677	0.7945226927	1677	0.72164678	0.7945752195	1.738181266
679	0.7946892807	1.737698641
680	0.7948319972	1.737094577
681	0.7950980827	1.735967779
682	0.7951518972	1.735739801
683	0.7952921123	1.735145657
684	0.795492138	1.734297721
685	0.7956679619	1.733552037
686	0.7957836595	1.733061178
687	0.7958537171	1.732763884
688	0.7960191448	1.732061679
689	0.7961346329	1.731571288
690	0.7962749311	1.73097536
691	0.7964143324691	0.7222101692	0.7964663854692	0.7222628693	0.7966499193693	0.7222768694	0.7968215562	1.728651566
695	0.7969785841	1.727983437
696	0.7971747973	1.727148216
697	0.7973292563	1.726490447
698	0.7974142891	1.726128225
699	0.7974618564	1.725925565
700	0.79764258	1.725155376
701	0.7977031265	1.724897269
702	0.7978387052	1.724319161
703	0.7978782863	1.724150351
704	0.7980226179	1.723534649
705	0.7981485931	1.722997072
706	0.7982995678	1.722352594
707	0.7985081476	1.721461816
708	0.7986572112	1.720824929
709	0.7988297533	1.720087435
710	0.7989880824	1.719410413
711	0.7990647739	1.719082381
712	0.7991732631	1.718618233
713	0.7993752028	1.717753944
714	0.7994204252	1.717560336
715	0.7995005047	1.717217442
716	0.7995434688	1.717033445
717	0.7997056901	1.716338541
718	0.7998862309	1.715564833
719	0.7999312662	1.715371779
720	0.8001451877	1.714454462
721	0.8002189525	1.714138037
722	0.8003598181	1.713533611
723	0.8004027835	1.713349213
724	0.8005677149	1.712641178
725	0.8007299694	1.711944349
726	0.8008618844	1.71137761
727	0.8009469675	1.711011972
728	0.8010843957	1.71042122
729	0.8011712437	1.710047788
730	0.8013300286	1.709364828
731	0.8014882131	1.70868418
732	0.8015600759	1.708374873
733	0.8017390869	1.707604144
734	0.8017761399	1.70744457
735	0.8018994675	1.706913332
736	0.8020465456	1.706279573
737	0.8021478136	1.705843072
738	0.8022025797	1.705606964
739	0.802246407	1.705417993
740	0.8023853766	1.704818653
741	0.8024636809	1.704480855
742	0.8026429179	1.703707389
743	0.8027208697	1.703370892
744	0.8028103779	1.702984427
745	0.8029099445	1.70255443
746	0.8030213492	1.702073179
747	0.8030674125	1.701874153
748	0.8031542725	1.701498794
749	0.8033510633	1.700648069
750	0.8035008446	1.700000281
751	0.8036537462	1.699338743
752	0.803683842	1.699208501
753	0.8038353416	1.698552724
754	0.8038780958	1.698367614
755	0.8039615272	1.698006328
756	0.8040124157	1.697785926
757	0.8041461055	1.697206768
758	0.8042496016	1.696758277
759	0.80445554	1.695865509
760	0.8046095346	1.695197616
761	0.8047062573	1.694777983
762	0.8047809234	1.694453972
763	0.8049533717	1.693705402
764	0.8050295456	1.693374638
765	0.8051291982	1.692941827
766	0.8052710787	1.692325421
767	0.8052965698	1.69221465
768	0.805448169	1.691555729
769	0.8055053275	1.691307225
770	0.805694201	1.690485812
771	0.8058466567	1.68982249
772	0.8059067958	1.689560758
773	0.8059498654	1.689373289
774	0.8060643112	1.688875041
775	0.8061089187	1.688680799
776	0.8062529239	1.688053582
777	0.8063858051	1.687474607
778	0.8065380166	1.686811165
779	0.8065789836	1.686632559
780	0.8067279731	1.685982839
781	0.8068147752	1.685604193
782	0.8069288901	1.685106274
783	0.8070862781	1.684419301
784	0.807232731	1.683779805
785	0.8073024939	1.683475096
786	0.8073278069	1.683364521
787	0.8074017798	1.683041341
788	0.8075307149	1.68247789
789	0.8076627991	1.681900481
790	0.8079227699	1.680763434
791	0.8080663747	1.680135013
792	0.8081702758	1.67968019
793	0.8082831145	1.679186104
794	0.8083276484	1.678991064
795	0.8084799832	1.678323728
796	0.8085129314	1.678179357
797	0.8085399192	1.678061093
798	0.8086561211	1.677551787
799	0.8088578935	1.676667063
800	0.8088961286	1.676499359
801	0.8089752764	1.676152153
802	0.8091188047	1.675522337
803	0.8093008331	1.67472324
804	0.8094790019	1.673940716
805	0.809603656	1.673393014
806	0.8096426846	1.673221494
807	0.8096748179	1.673080264
808	0.8096965162	1.67298489
809	0.8097452185	1.672770802
810	0.809800108	1.672529483
811	0.8099147976	1.672025143
812	0.8101092467	1.671169719
813	0.8101803663	1.670856739
814	0.8103188088	1.670247319
815	0.8103566595	1.670080662
816	0.8104310358	1.669753136
817	0.8105400175	1.669273102
818	0.8106459795	1.668806238
819	0.8107767002	1.668230108
820	0.8109246329	1.667577878
821	0.8110621341	1.666971412
822	0.8111386471	1.666633846
823	0.8112087449	1.666324524
824	0.8112775331	1.666020924
825	0.8113769763	1.665581929
826	0.8114006488	1.665477409
827	0.8115719345	1.664720946
828	0.8116110512	1.664548143
829	0.8116623474	1.664321508
830	0.8117613429	1.663884044
831	0.8118929138	1.66330245
832	0.8119732484	1.66294724
833	0.8120609973	1.66255916
834	0.8121877653	1.661998354
835	0.8122561119	1.661695918
836	0.8122920833	1.661536721
837	0.812338186	1.661332665
838	0.8123925188	1.661092149
839	0.8125626089	1.660338982
840	0.8126935382	1.659758988
841	0.8127770365	1.659389
842	0.8129422975	1.65865647
843	0.8130733083	1.658075526
844	0.813154494	1.657715421
845	0.8132563413	1.657263558
846	0.8133756562	1.656734042
847	0.8135000598	1.656181761
848	0.8136418529	1.655552056
849	0.8136771218	1.65539539
850	0.8137212405	1.65519939
851	0.8137899527	1.654894087
852	0.8138313426	1.654710156
853	0.8138903626	1.654447843
854	0.8139663966	1.654109852
855	0.8140118081	1.653907952
856	0.8141946982	1.653094573
857	0.8143721323	1.652305076
858	0.8144929494	1.651767282
859	0.8145150696	1.651668799
860	0.814582643	1.651367915
861	0.8146614086	1.651017125
862	0.8147293487	1.650714489
863	0.8149159975	1.649882783
864	0.8150229228	1.649406135
865	0.8150568255	1.649254976
866	0.8151482824	1.648847136
867	0.8151844333	1.648685898
868	0.8152764471	1.648275433
869	0.8154184012	1.647641988
870	0.8155497779	1.647055526
871	0.8155714892	1.646958587
872	0.8156052764	1.646807719
873	0.8157184886	1.646302099
874	0.8158380267	1.645768058
875	0.8160152904	1.644975806
876	0.8161849669	1.644217107
877	0.8163189722	1.643617662
878	0.8164441717	1.643057411
879	0.8164771364	1.642909866
880	0.8165937343	1.642387887
881	0.8167103858	1.641865502
882	0.816819427	1.641377046
883	0.8168613399	1.641189257
884	0.8169469352	1.640805683
885	0.8170218526	1.640469885
886	0.8170997021	1.640120873
887	0.8171204147	1.640028002
888	0.8171869936	1.639729442
889	0.8172286418	1.63954265
890	0.8172702328	1.639356095
891	0.8173959742	1.638791954
892	0.8175036825	1.638308565
893	0.8175610218	1.638051172
894	0.8176721227	1.637552329
895	0.8177821699	1.637058068
896	0.8178299235	1.636843543
897	0.8179028428	1.636515911
898	0.8180036398	1.636062914
899	0.8181413062	1.635444019
900	0.8181880686	1.63523374
901	0.8182898901	1.63477578
902	0.8183837276	1.634353615
903	0.818551223	1.633599801
904	0.8187152351	1.632861326
905	0.8187457021	1.632724109
906	0.818919746	1.631940034
907	0.8189551193	1.63178063
908	0.8190139946	1.631515284
909	0.8191345855	1.630971654
910	0.8192949326	1.630248521
911	0.819412283	1.62971909
912	0.8194822029	1.629403563
913	0.819582291	1.628951789
914	0.8196893342	1.628468483
915	0.8198056541	1.627943129
916	0.8199374851	1.627347514
917	0.820031324	1.626923416
918	0.8200971788	1.626625724
919	0.8202385997	1.625986256
920	0.8203533482	1.625467209
921	0.8204603577	1.624983019
922	0.8206062829	1.624322512
923	0.820709857	1.623853538
924	0.8207776949	1.623546301
925	0.820872858	1.62311521
926	0.8209765215	1.622645482
927	0.8210574519	1.622278669
928	0.8211098593	1.622041091
929	0.8211602812	1.621812481
930	0.8212940091	1.62120601
931	0.8213785128	1.62082266
932	0.8214031047	1.620711081
933	0.8215567343	1.620013861
